"","Name","Geography1","cat1","cat2","cat3","cat4","cat5","cat6","cat7","cat8","cat9","cat10","cat11","cat12","cat13","cat14","cat15","cat16","cat17","cat18"
"1","County Durham","Unitary Authority",27021,29989,28558,29134,35874,33461,30124,30570,27667,35419,39721,37361,33491,31637,30125,19870,14647,12311
"2","Darlington","Unitary Authority",5917,6650,6410,5656,5429,6267,6605,6637,6302,7395,7854,7485,6371,5960,5740,3937,3095,2856
"3","Hartlepool","Unitary Authority",5297,5957,5600,5192,5422,5990,6033,5423,4888,6172,6900,6775,5634,5296,4637,3082,2628,2316
"4","Middlesbrough","Unitary Authority",9657,9606,8579,8353,11650,10998,9376,8110,7316,8205,9021,8976,7931,6590,5857,4158,3335,2827
"5","Northumberland","Unitary Authority",14910,16975,17198,15922,14432,16516,17003,17703,17022,21377,24602,25453,23436,22593,21537,14037,10220,9338
"6","Redcar and Cleveland","Unitary Authority",7348,8259,7768,7108,7351,8244,8067,7383,6838,8882,10166,10065,8804,8342,8333,5848,4228,3684
"7","Stockton-on-Tees","Unitary Authority",11648,13134,12213,10815,10898,12999,13345,12602,11122,13223,14106,13658,11778,10463,9456,6413,4882,4458
"8","Tyne and Wear (Met County)","Metropolitan County",62271,65740,61037,63937,88351,84520,75908,71021,61919,73073,77762,76050,67146,59489,54676,37108,29761,26602
"9","Gateshead","Metropolitan District",10857,11626,10734,11205,12525,13301,14373,13463,11590,13431,14308,13940,11898,10634,10343,7331,5864,5085
"10","Newcastle upon Tyne","Metropolitan District",16630,17441,15246,20588,39899,29655,20716,17900,14978,16361,16756,16448,14351,12268,11004,7514,6289,6152
"11","North Tyneside","Metropolitan District",11471,11968,11601,10112,9880,11822,13463,14308,12607,14631,15283,14571,13103,11857,11178,7078,5677,5375
"12","South Tyneside","Metropolitan District",8359,8703,8272,7654,8388,9578,9752,9055,7957,9926,11365,11302,9919,8734,7823,5357,4260,3861
"13","Sunderland","Metropolitan District",14954,16002,15184,14378,17659,20164,17604,16295,14787,18724,20050,19789,17875,15996,14328,9828,7671,6129
"14","NORTH WEST","Region",434771,454136,427466,407334,465468,499669,475785,456491,414601,493194,516153,481784,410616,382358,364504,252081,185489,170193
"15","Blackburn with Darwen","Unitary Authority",10576,11152,10687,9833,9249,9720,10312,10457,9173,10089,9798,8939,7414,6649,5800,3892,2830,2372
"16","Blackpool","Unitary Authority",8365,8378,7763,7354,7948,8903,8334,7632,7263,9783,10809,9928,8443,7689,7680,5438,3942,3653
"17","Cheshire East","Unitary Authority",20262,22034,22020,19413,16905,19343,19748,21711,22482,28294,30173,28094,23623,23317,23639,15995,11968,11769
"18","Cheshire West and Chester","Unitary Authority",18571,19752,19177,18014,19473,19334,19094,19955,19432,24115,25587,24201,20852,20144,19822,13571,9980,9428
"19","Halton","Unitary Authority",7676,8488,8148,7075,7016,7934,8387,8102,7469,9046,8933,8922,7980,7538,6411,4025,2918,2364
"20","Warrington","Unitary Authority",11933,13102,12351,11365,10654,12838,13457,13716,12962,15653,16329,14600,11704,10758,10746,7639,5308,4432
"21","Cumbria","County",24066,26446,26606,25072,24418,26708,25737,26768,26192,34951,39147,38369,34234,33517,32374,22497,16247,15539
"22","Allerdale","Non-metropolitan District",4654,5323,5151,4985,4662,5173,4964,5212,4975,6951,7823,7322,6641,6716,6321,4424,3194,3036
"23","Barrow-in-Furness","Non-metropolitan District",3710,3670,3735,3531,3743,4085,3987,3637,3547,4722,5335,4849,4132,4010,4020,2897,1912,1615
"24","Carlisle","Non-metropolitan District",5909,6280,5935,5394,5914,6452,6094,6471,6034,7584,7928,8128,6901,6630,6043,4337,3234,3119
"25","Copeland","Non-metropolitan District",3474,3736,3661,3288,3395,4004,3771,3770,3588,4741,5463,5413,4831,4417,4127,2851,2104,1790
"26","Eden","Non-metropolitan District",2184,2608,2762,2515,2151,2550,2389,2609,2629,3734,4384,4337,3981,3986,3805,2570,1789,1898
"27","South Lakeland","Non-metropolitan District",4135,4829,5362,5359,4553,4444,4532,5069,5419,7219,8214,8320,7748,7758,8058,5418,4014,4081
"28","Greater Manchester (Met County)","Metropolitan County",183692,188451,173422,161110,193586,215938,206178,192026,166582,187385,190072,168875,139914,127679,120332,83152,59807,54368
"29","Bolton","Metropolitan District",19294,19976,18349,16614,16401,18634,19452,17905,17007,19887,19986,17776,14971,14082,13638,9369,6325,5706
"30","Bury","Metropolitan District",11819,12794,12001,10465,9981,12153,12612,12391,11331,13318,13856,12594,10135,9815,9645,6398,4699,4101
"31","Manchester","Metropolitan District",37768,36333,31354,34860,67607,65456,50663,41267,30548,29498,28390,23704,19212,15835,12754,9038,6925,6415
"32","Oldham","Metropolitan District",16792,17013,16354,14984,14061,15992,16114,15308,13441,15812,15884,14158,11870,10796,10404,7167,4988,4485
"33","Rochdale","Metropolitan District",15123,15466,14315,12727,12991,15104,15074,14561,12937,14868,15120,13784,11988,10791,9637,6543,4608,4364
"34","Salford","Metropolitan District",17614,16745,14642,13826,18940,23140,22343,18957,14321,15431,15974,14400,11655,10343,9636,6783,5040,4618
"35","Stockport","Metropolitan District",17631,18484,17562,15037,13534,16992,18295,19360,18134,20618,21375,19776,16913,15535,15142,10843,8387,8157
"36","Tameside","Metropolitan District",14500,14986,13425,12010,12479,15090,15190,14447,13018,15769,16907,15277,12388,11546,11152,7400,5302,4311
"37","Trafford","Metropolitan District",14701,16663,16174,13156,10431,12690,15094,17198,16659,17631,17335,15387,12473,10935,10362,7488,5932,6061
"38","Wigan","Metropolitan District",18450,19991,19246,17431,17161,20687,21341,20632,19186,24553,25245,22019,18309,18001,17962,12123,7601,6150
"39","Lancashire","County",67104,72975,70383,68286,75967,75375,70409,69545,66587,82520,87375,82867,72016,69310,68261,46331,33734,31008
"40","Burnley","Non-metropolitan District",5953,6028,5573,4738,4831,5700,6087,5413,5142,5759,5989,5749,5143,4802,4623,2913,2065,2019
"41","Chorley","Non-metropolitan District",6439,7117,6803,5714,5575,6824,7606,7410,7433,8938,8980,8033,6934,6666,6752,4349,2828,2420
"42","Fylde","Non-metropolitan District",3329,4137,4222,3777,3119,3611,3922,4156,4067,5367,6276,6421,5642,5490,5927,4100,3128,3079
"43","Hyndburn","Non-metropolitan District",5283,5504,5073,4601,4684,5241,5230,5044,4505,5600,5684,5103,4425,4238,4210,2736,1976,1678
"44","Lancaster","Non-metropolitan District",7402,7994,7427,9887,14457,10438,7393,7548,7139,8799,9667,9327,8062,7858,7693,5362,3978,3815
"45","Pendle","Non-metropolitan District",6224,6394,5697,5010,4550,5821,6235,6136,5380,5956,5943,5801,5253,5132,4704,2969,2135,2065
"46","Preston","Non-metropolitan District",9318,9277,8642,8641,13655,11572,9413,9021,7744,9069,9172,8581,6878,6102,5198,3820,3053,2662
"47","Ribble Valley","Non-metropolitan District",2577,3293,3682,3499,2584,2945,2693,2954,3263,4616,4994,4710,4093,3802,3917,2621,1927,1887
"48","Rossendale","Non-metropolitan District",4082,4580,4395,3860,3427,4272,4348,4405,4374,5331,5474,5028,4251,4030,3755,2215,1601,1467
"49","South Ribble","Non-metropolitan District",6006,6674,6405,5707,5380,6444,6619,6513,6557,7997,8481,7719,6667,6581,6490,4392,3104,2791
"50","West Lancashire","Non-metropolitan District",5548,6421,6473,7312,8637,6790,5431,5386,5693,7835,8381,8043,7033,6744,6827,4825,3541,3029
"51","Wyre","Non-metropolitan District",4943,5556,5991,5540,5068,5717,5432,5559,5290,7253,8334,8352,7635,7865,8165,6029,4398,4096
"52","Merseyside (Met County)","Metropolitan County",82526,83358,76909,79812,100252,103576,94129,86579,76459,91358,97930,96989,84436,75757,69439,49541,38755,35260
"53","Knowsley","Metropolitan District",10076,9630,8784,8344,9182,10587,10046,8846,7598,9596,10721,11096,9552,7710,6270,4481,3792,3260
"54","Liverpool","Metropolitan District",29676,27557,24011,30674,52181,46930,38290,33404,26356,28740,29747,29474,25166,21589,18384,13042,10425,9168
"55","Sefton","Metropolitan District",14441,15647,14942,14181,13546,15868,15265,14800,14387,18250,20466,20868,18703,16653,16211,11999,9860,9309
"56","St. Helens","Metropolitan District",10282,10802,10121,9295,9537,11658,11571,10901,10186,12715,13195,12264,10734,10324,10255,7064,5149,3996
"57","Wirral","Metropolitan District",18051,19722,19051,17318,15806,18533,18957,18628,17932,22057,23801,23287,20281,19481,18319,12955,9529,9527
"58","YORKSHIRE AND THE HUMBER","Region",323296,342349,321562,313165,374859,374820,351808,338371,308946,368895,381215,355531,308462,286051,273954,185527,141919,128885
"59","East Riding of Yorkshire","Unitary Authority",15572,18169,18460,17585,14249,15428,16058,17327,18670,24253,26450,25997,23911,24234,24403,16123,12126,10599
"60","Kingston upon Hull City of","Unitary Authority",17207,17211,14880,13950,21824,23017,19994,16854,14542,16103,16762,15991,13313,11707,10326,6888,5439,4637
"61","North East Lincolnshire","Unitary Authority",9516,10255,9571,8464,8311,10390,10345,9208,8418,10785,11438,11194,9627,8819,8569,5927,4717,4267
"62","North Lincolnshire","Unitary Authority",9204,10578,10319,8943,8448,10052,10713,10191,9373,11795,12916,12382,11042,10596,9692,6585,4756,4420
"63","York","Unitary Authority",9822,10798,10260,14301,23198,16584,13466,12248,11402,13045,13440,12334,10705,10038,10156,6946,5692,5458
"64","North Yorkshire","County",29706,33666,33777,31826,25620,32164,31994,32594,32800,43235,48523,47458,42172,40768,40694,27329,20593,19586
"65","Craven","Non-metropolitan District",2460,2886,3006,2956,2219,2628,2481,2792,2835,4054,4508,4457,4351,4106,4100,2825,2021,2147
"66","Hambleton","Non-metropolitan District",4101,4799,4833,4443,3790,4459,4498,4585,4641,6275,7527,7272,6314,6393,6530,4396,3336,2942
"67","Harrogate","Non-metropolitan District",7755,9229,9715,9105,5522,7699,8102,9086,9543,11966,13126,12206,10359,9570,9859,6772,5372,5547
"68","Richmondshire","Non-metropolitan District",2727,2991,2750,2873,2504,3981,3721,3032,2716,3622,3790,3878,3425,3240,3116,2038,1556,1284
"69","Ryedale","Non-metropolitan District",2425,2766,2852,2760,2454,2550,2570,2616,2702,3771,4395,4370,4090,4053,4003,2684,1964,1895
"70","Scarborough","Non-metropolitan District",5209,5684,5514,5172,5077,5781,5301,5124,5125,6822,8080,8526,8026,8084,8073,5420,4010,3708
"71","Selby","Non-metropolitan District",5029,5311,5107,4517,4054,5066,5321,5359,5238,6725,7097,6749,5607,5322,5013,3194,2334,2063
"72","South Yorkshire (Met County)","Metropolitan County",81026,85811,80960,80107,105878,104962,92760,86314,77107,93795,96671,89278,76828,69582,67948,46799,35251,31841
"73","Barnsley","Metropolitan District",14227,14911,14032,12351,13589,15877,16052,15201,13385,17562,18616,17125,14984,13614,13088,8694,6237,5654
"74","Doncaster","Metropolitan District",18267,19734,18502,16076,16684,20738,21274,19764,17421,20881,22276,21351,18764,16963,15811,10679,8119,7238
"75","Rotherham","Metropolitan District",15832,16730,15762,14624,14322,16733,16717,16020,14437,18663,19347,18041,15750,14345,14335,9793,7074,6146
"76","Sheffield","Metropolitan District",32700,34436,32664,37056,61283,51614,38717,35329,31864,36689,36432,32761,27330,24660,24714,17633,13821,12803
"77","West Yorkshire (Met County)","Metropolitan County",151243,155861,143335,137989,167331,162223,156478,153635,136634,155884,155015,140897,120864,110307,102166,68930,53345,48077
"78","Bradford","Metropolitan District",39705,41189,39277,35518,32418,34222,37010,37559,33267,35367,33604,31238,27336,23672,20169,13812,11393,10417
"79","Calderdale","Metropolitan District",12448,13576,12900,11536,10610,12351,12817,13485,12564,15644,16086,14590,12583,11460,10782,6952,4953,4745
"80","Kirklees","Metropolitan District",27446,29366,27771,25952,27315,28206,27925,28663,26371,31095,30557,27576,23636,22262,20957,13977,10408,9244
"81","Leeds","Metropolitan District",50495,50276,43743,47664,78808,64763,55100,52135,44912,49053,48987,43821,37023,34195,32199,22147,17923,15950
"82","Wakefield","Metropolitan District",21149,21454,19644,17319,18180,22681,23626,21793,19520,24725,25781,23672,20286,18718,18059,12042,8668,7721
"83","EAST MIDLANDS","Region",273555,293162,275923,273717,318412,310058,293911,292697,275021,330618,346715,319161,274168,263141,254965,169047,122870,117008
"84","Derby","Unitary Authority",16674,17889,16478,15661,18493,19191,17867,16686,15048,16782,17231,14989,12309,11082,10791,7532,6270,6201
"85","Leicester","Unitary Authority",25049,24784,22211,24543,40115,32486,26205,23925,20139,20050,19079,18563,15765,13288,10122,7280,5738,5876
"86","Nottingham","Unitary Authority",20755,20257,17906,26256,49059,32794,22692,20451,17104,18323,17956,16026,13290,11234,9563,6590,5391,5422
"87","Rutland","Unitary Authority",1855,1988,2277,2486,1821,2091,1918,2212,2211,2717,2978,2801,2464,2652,2680,1877,1370,1299
"88","Derbyshire","County",40208,44530,43694,40807,40425,46710,45408,45869,45094,59221,64034,57886,50573,48557,48272,31673,22288,20893
"89","Amber Valley","Non-metropolitan District",6277,6988,6731,6446,6218,7247,7051,7361,7260,9635,10136,9189,8162,8054,7986,5140,3422,3375
"90","Bolsover","Non-metropolitan District",4272,4556,4420,4130,4391,4981,4856,4694,4458,6135,6326,5540,4893,4560,4515,2972,2051,1780
"91","Chesterfield","Non-metropolitan District",5360,5906,5503,5222,5827,6596,6367,6309,5912,7633,8150,7409,6513,6163,5964,4037,2915,2842
"92","Derbyshire Dales","Non-metropolitan District",2788,3432,3892,3617,3086,3188,2920,3181,3760,5190,6290,5890,5301,5450,5434,3505,2615,2438
"93","Erewash","Non-metropolitan District",6278,6895,6464,5763,6068,7394,7182,6936,6731,8449,9209,8091,6643,6192,6389,4299,3275,3232
"94","High Peak","Non-metropolitan District",4541,5073,5110,4876,4719,5356,5082,5222,5063,6857,7696,7226,6109,5721,5454,3497,2428,2191
"95","North East Derbyshire","Non-metropolitan District",4846,5306,5315,4881,4898,5513,5351,5302,5433,7255,7986,7393,6943,6683,7096,4800,3290,2834
"96","South Derbyshire","Non-metropolitan District",5846,6374,6259,5872,5218,6435,6599,6864,6477,8067,8241,7148,6009,5734,5434,3423,2292,2201
"97","Leicestershire","County",36916,40779,40047,40356,44024,40557,40210,41586,40351,50199,52479,47803,40671,40354,39183,25626,18932,18195
"98","Blaby","Non-metropolitan District",5655,6206,6120,5132,4869,5822,6472,6445,6045,7120,7492,6875,5778,5590,5575,3758,2880,2587
"99","Charnwood","Non-metropolitan District",9501,10222,9522,12346,18322,12830,10845,10998,9875,12050,12130,11268,9693,9485,8895,5933,4373,4355
"100","Harborough","Non-metropolitan District",4625,5435,5816,5056,3968,4463,4592,5093,5674,7344,7746,6781,5733,5584,5692,3589,2728,2580
"101","Hinckley and Bosworth","Non-metropolitan District",5972,6502,6322,5688,5168,6498,6653,6759,6599,8308,8614,7945,6866,7226,6842,4446,3081,2934
"102","Melton","Non-metropolitan District",2562,2981,2949,2631,2281,2583,2514,2684,2852,3778,4469,3913,3377,3384,3232,2060,1448,1402
"103","North West Leicestershire","Non-metropolitan District",5552,6011,6047,5326,5298,6071,5901,6260,6132,7940,8058,7114,6049,5988,5991,3622,2458,2308
"104","Oadby and Wigston","Non-metropolitan District",3049,3422,3271,4177,4118,2290,3233,3347,3174,3659,3970,3907,3175,3097,2956,2218,1964,2029
"105","Lincolnshire","County",39873,42764,40021,40504,42304,42425,42339,41874,39541,50570,54986,53586,48382,48736,49608,33197,23254,21869
"106","Boston","Non-metropolitan District",4341,4517,3683,3460,3474,4526,4793,4451,3925,4440,4687,4403,4233,4041,3926,2688,1920,1858
"107","East Lindsey","Non-metropolitan District",6258,7092,6889,6347,5843,6502,6260,6197,6247,8929,10323,10997,10968,11715,12212,7871,5259,4832
"108","Lincoln","Non-metropolitan District",5698,5367,4594,7788,13152,8091,6817,6021,5005,5439,5832,5651,4535,4336,3893,2621,2004,2195
"109","North Kesteven","Non-metropolitan District",5974,6721,6338,5979,5153,6361,6898,6664,6267,8318,9006,8198,6962,7137,7629,5461,3710,3209
"110","South Holland","Non-metropolitan District",5183,5379,4892,4566,4460,5055,5501,5336,5201,6245,6941,6593,5925,5974,6174,4272,3224,3059
"111","South Kesteven","Non-metropolitan District",7593,8446,8383,7498,5927,7042,7449,8231,8039,10596,10822,10407,9148,8999,9071,5948,4166,4088
"112","West Lindsey","Non-metropolitan District",4826,5242,5242,4866,4295,4848,4621,4974,4857,6603,7375,7337,6611,6534,6703,4336,2971,2628
"113","Northamptonshire","County",47337,50554,46795,41070,38514,43777,47961,50204,47234,54104,55590,49187,41389,39539,37932,23599,16730,16106
"114","Corby","Non-metropolitan District",5124,5400,4541,3753,3468,4760,5549,5581,4527,4679,5073,4629,3723,3112,2708,1835,1307,1058
"115","Daventry","Non-metropolitan District",4464,5083,5059,4533,4043,4628,4481,4824,4999,6372,7096,6248,5384,5164,5040,3011,2136,1919
"116","East Northamptonshire","Non-metropolitan District",5108,5600,5999,5411,4317,4781,5072,5489,5674,7173,7515,6617,5596,5796,5541,3371,2437,2409
"117","Kettering","Non-metropolitan District",6419,6876,6354,5486,4801,6047,6488,6716,6503,7588,7490,6381,5474,5424,5333,3304,2291,2291
"118","Northampton","Non-metropolitan District",16226,16281,14003,12571,14251,14733,16727,17086,14692,15144,14964,13268,10973,10183,9293,5968,4365,4418
"119","South Northamptonshire","Non-metropolitan District",5003,5771,5790,4977,3792,4633,4714,5427,5926,7417,7638,6842,5639,5422,5652,3342,2337,2193
"120","Wellingborough","Non-metropolitan District",4993,5543,5049,4339,3842,4195,4930,5081,4913,5731,5814,5202,4600,4438,4365,2768,1857,1818
"121","Nottinghamshire","County",44888,49617,46494,42034,43657,50027,49311,49890,48299,58652,62382,58320,49325,47699,46814,31673,22897,21147
"122","Ashfield","Non-metropolitan District",7438,7989,7252,6738,6935,8295,8231,7848,7252,9221,9564,8876,7137,6995,6688,4838,3180,2674
"123","Bassetlaw","Non-metropolitan District",6361,6813,6436,5955,6121,6538,6225,6473,6578,8307,9325,8678,7517,7211,7139,4763,3351,3048
"124","Broxtowe","Non-metropolitan District",5839,6505,6027,5638,6700,7387,7341,6977,6737,7845,8221,7709,6539,6501,6639,4374,3216,3077
"125","Gedling","Non-metropolitan District",6223,6956,6704,6045,5752,7157,7045,7423,7200,8477,8919,8343,6957,6969,6571,4469,3583,2993
"126","Mansfield","Non-metropolitan District",6569,6817,5985,5287,5827,7108,7363,7069,6036,7470,8120,7789,6630,6055,5596,3808,2751,2561
"127","Newark and Sherwood","Non-metropolitan District",6388,7282,6873,6392,6127,7051,6811,6738,6788,8684,9422,8804,7726,7354,7479,4982,3440,3225
"128","Rushcliffe","Non-metropolitan District",6070,7255,7217,5979,6195,6491,6295,7362,7708,8648,8811,8121,6819,6614,6702,4439,3376,3569
"129","WEST MIDLANDS","Region",359396,377775,357155,341305,392374,409089,381703,368351,337608,395018,406024,369143,316580,298751,288735,206040,152043,143667
"130","Herefordshire County of","Unitary Authority",9337,10757,10251,9407,8913,10804,10921,10886,9905,12682,14507,13945,13167,12979,12463,8573,6430,6180
"131","Shropshire","Unitary Authority",15034,16797,17492,17045,14923,17076,17159,17132,17215,22308,24854,24064,21387,21250,21289,14622,10540,10087
"132","Stoke-on-Trent","Unitary Authority",17135,17143,15303,14242,17820,18866,18169,16407,14007,16779,16809,15679,14027,12630,11804,8191,5807,5015
"133","Telford and Wrekin","Unitary Authority",11022,12264,11251,10342,11205,11150,11424,11761,10551,12675,12959,11306,9648,9197,8274,5750,3857,3163
"134","Staffordshire","County",44389,49041,48609,46100,49006,53485,50638,50872,49552,63085,66868,61380,53286,51864,52498,36601,25437,22508
"135","Cannock Chase","Non-metropolitan District",5378,5832,5673,5240,5513,6536,6723,6335,5713,7692,7901,6830,5799,5363,5264,3599,2439,2279
"136","East Staffordshire","Non-metropolitan District",7247,7529,6948,6364,6223,7333,7294,7656,6801,8452,9010,8198,6838,6271,6143,4317,3077,2873
"137","Lichfield","Non-metropolitan District",5004,5779,5757,5472,5329,5462,5506,5719,6164,7505,8051,7167,6400,6310,7253,5034,3207,2846
"138","Newcastle-under-Lyme","Non-metropolitan District",6169,6812,6853,7540,10371,9490,7563,7359,7275,8549,9032,8612,7503,7230,7160,4830,3750,3392
"139","South Staffordshire","Non-metropolitan District",5041,5556,5824,5602,5972,6309,5705,5838,5963,7947,9006,8695,7430,7278,7372,5493,3849,3246
"140","Stafford","Non-metropolitan District",6724,7478,7569,6601,6802,8629,7929,8032,7751,9787,10517,9579,8211,8285,8264,5960,4113,3649
"141","Staffordshire Moorlands","Non-metropolitan District",4302,5153,5351,5108,4537,4991,4760,4992,5422,7454,7963,7358,6580,6786,6946,4687,3270,2737
"142","Tamworth","Non-metropolitan District",4524,4902,4634,4173,4259,4735,5158,4941,4463,5699,5388,4941,4525,4341,4096,2681,1732,1486
